=== NVL-P WW15 Power KPI: Pre-Silicon (Q1'26) vs Post-Silicon (WW15 Median) ===

SYSTEM-LEVEL KPI COMPARISON (P_MCP_TOTAL)
Workload,Pre-Silicon Q1'26 (mW),Post-Silicon WW15 Median (mW),Ratio (Post/Pre),Status
OS Idle (25C),144,302.73,2.102,OVER
MCS (25C),48,136.83,2.851,OVER
Netflix 1080p AVC (40C),728,N/A,N/A,N/A
AVI 4K YouTube (40C),1223,1802.15,1.474,OVER
4-tab Catapult (40C),1120,1521.29,1.358,OVER

POWER RAIL BREAKDOWN (WW15 Run2 = Median)
Power Rail,IDON (25C) Pre (mW),IDON (25C) Post WW15 (mW),IDON (25C) Ratio,CMS (25C) Pre (mW),CMS (25C) Post WW15 (mW),CMS (25C) Ratio,Catapult @40C Pre (mW),Catapult @40C Post WW15 (mW),Catapult @40C Ratio,Youtube @40C Pre (mW),Youtube @40C Post WW15 (mW),Youtube @40C Ratio,Netflix @40C Pre (mW),Netflix @40C Post WW15 (mW),Netflix @40C Ratio
P_VCC_LP_ECORE,4.98,19.532,3.922,0.0,0.0,N/A,223.63,185.721,0.83,151.38,189.029,1.249,75.51,N/A,N/A
P_VCCPRIM_IO,14.23,39.315,2.763,1.55,21.491,13.865,122.49,129.428,1.057,159.38,122.521,0.769,111.65,N/A,N/A
P_VCCPRIM_VNNAON,67.29,141.429,2.102,42.23,88.224,2.089,327.09,396.387,1.212,318.3,376.04,1.181,266.98,N/A,N/A
P_VCCPRIM_1P8,4.45,1.494,0.336,4.32,1.263,0.292,7.53,2.277,0.302,5.68,3.402,0.599,5.49,N/A,N/A
P_VCCRTC,0.05,0.129,2.58,0.05,0.131,2.62,0.05,0.128,2.56,0.05,0.13,2.6,0.05,N/A,N/A
P_VCCPRIM_1P8_FLTRA,N/A,6.766,N/A,N/A,5.967,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P_VCCPRIM_1P8_FLTRB,N/A,24.498,N/A,N/A,17.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P_VDDQ_CPU,3.34,3.757,1.125,0.0,0.764,N/A,52.47,21.419,0.408,58.27,32.398,0.556,24.59,N/A,N/A
P_VDD2H_CPU,14.49,14.101,0.973,0.87,1.852,2.129,166.21,100.344,0.604,220.41,152.365,0.691,87.87,N/A,N/A
P_VCCCORE,0.0,1.739,N/A,0.0,0.0,N/A,28.87,101.496,3.516,4.49,46.628,10.385,0.0,N/A,N/A
P_VCCGT,0.0,0.347,N/A,0.0,0.0,N/A,24.13,28.899,1.198,0.49,7.954,16.233,0.0,N/A,N/A
P_VCCSA,35.96,49.513,1.377,0.2,0.0,0.0,320.78,483.292,1.507,450.36,795.231,1.766,263.9,N/A,N/A
P_MCP_TOTAL,144.79,302.729,2.091,49.22,136.833,2.78,1273.25,1521.285,1.195,1368.81,1802.149,1.317,836.04,N/A,N/A
